number,frequency
16910,-1030.0
19830,-1020.0
10606,-1070.0
23077,-990.0
21898,-1010.0
8260,-1060.0
13832,-1040.0
678,-1120.0
10717,-1050.0
23238,-1000.0
18047,-970.0
1438,-1100.0
9238,-950.0
3183,-1080.0
21339,-980.0
2142,-1090.0
13692,-960.0
255,-1140.0
413,-1130.0
983,-1110.0
2884,-930.0
5557,-940.0
1390,-920.0
144,-830.0
164,-870.0
631,-910.0
174,-880.0
258,-890.0
347,-900.0
159,-860.0
130,-760.0
171,-840.0
127,-800.0
141,-1160.0
194,-1150.0
207,-610.0
86,-450.0
73,-470.0
218,-690.0
51,-1180.0
198,-710.0
269,-640.0
166,-560.0
121,-480.0
35,-430.0
181,-510.0
151,-570.0
159,-850.0
177,-600.0
148,-810.0
132,-820.0
15,-1200.0
203,-700.0
159,-790.0
204,-590.0
17,-370.0
139,-780.0
246,-630.0
216,-680.0
239,-620.0
173,-720.0
61,-1170.0
31,-1190.0
208,-670.0
159,-750.0
153,-740.0
130,-770.0
164,-730.0
252,-650.0
234,-660.0
157,-500.0
3,-1220.0
1,-1280.0
6,-1240.0
8,-1210.0
198,-540.0
170,-580.0
200,-550.0
199,-530.0
198,-520.0
136,-490.0
17,-390.0
30,-420.0
17,-410.0
8,-380.0
14,-400.0
9,-330.0
15,-360.0
10,-320.0
84,-460.0
54,-440.0
4,-340.0
7,-310.0
9,-300.0
6,-280.0
2,-270.0
3,-290.0
9,-350.0
2,-250.0
2,-1230.0
1,-1250.0
